Entity,Code,Year,Percentage
Africa,,1965,46.375
Africa,,1966,44.047
Africa,,1967,44.655
Africa,,1968,44.029
Africa,,1969,43.381
Africa,,1970,41.398
Africa,,1971,40.437
Africa,,1972,38.253
Africa,,1973,37.603
Africa,,1974,37.345
Africa,,1975,37.391
Africa,,1976,36.421
Africa,,1977,35.396
Africa,,1978,33.124
Africa,,1979,32.075
Africa,,1980,32.009
Africa,,1981,33.628
Africa,,1982,34.736
Africa,,1983,34.407
Africa,,1984,35.64
Africa,,1985,35.4
Africa,,1986,35.372
Africa,,1987,35.295
Africa,,1988,35.37
Africa,,1989,33.1
Africa,,1990,33.665
Africa,,1991,32.75
Africa,,1992,32.397
Africa,,1993,32.779
Africa,,1994,32.664
Africa,,1995,32.363
Africa,,1996,31.956
Africa,,1997,32.15
Africa,,1998,30.93
Africa,,1999,30.954
Africa,,2000,30.171
Africa,,2001,29.406
Africa,,2002,27.847
Africa,,2003,28.936
Africa,,2004,29.702
Africa,,2005,27.382
Africa,,2006,27.286
Africa,,2007,26.787
Africa,,2008,27.755
Africa,,2009,27.155
Africa,,2010,26.072
Africa,,2011,25.547
Africa,,2012,24.069
Africa,,2013,23.75
Africa,,2014,24.151
Africa,,2015,22.485
Africa,,2016,23.254
Africa,,2017,22.653
Africa,,2018,22.716
Africa,,2019,22.507
Algeria,DZA,1965,3.288
Algeria,DZA,1966,2.657
Algeria,DZA,1967,2.147
Algeria,DZA,1968,2.115
Algeria,DZA,1969,2.432
Algeria,DZA,1970,2.633
Algeria,DZA,1971,0.674
Algeria,DZA,1972,0.522
Algeria,DZA,1973,0.504
Algeria,DZA,1974,0.376
Algeria,DZA,1975,0.397
Algeria,DZA,1976,0.666
Algeria,DZA,1977,0.787
Algeria,DZA,1978,0.318
Algeria,DZA,1979,0.564
Algeria,DZA,1980,0.42
Algeria,DZA,1981,0.243
Algeria,DZA,1982,3.915
Algeria,DZA,1983,3.198
Algeria,DZA,1984,3.693
Algeria,DZA,1985,3.824
Algeria,DZA,1986,3.71
Algeria,DZA,1987,4.316
Algeria,DZA,1988,3.789
Algeria,DZA,1989,3.293
Algeria,DZA,1990,2.433
Algeria,DZA,1991,2.534
Algeria,DZA,1992,2.935
Algeria,DZA,1993,2.569
Algeria,DZA,1994,2.388
Algeria,DZA,1995,2.303
Algeria,DZA,1996,1.096
Algeria,DZA,1997,1.999
Algeria,DZA,1998,2.067
Algeria,DZA,1999,2.192
Algeria,DZA,2000,1.881
Algeria,DZA,2001,2.095
Algeria,DZA,2002,2.655
Algeria,DZA,2003,2.092
Algeria,DZA,2004,2.404
Algeria,DZA,2005,1.887
Algeria,DZA,2006,2.705
Algeria,DZA,2007,2.203
Algeria,DZA,2008,2.079
Algeria,DZA,2009,1.259
Algeria,DZA,2010,0.824
Algeria,DZA,2011,0.689
Algeria,DZA,2012,0.669
Algeria,DZA,2013,0.342
Algeria,DZA,2014,0.356
Algeria,DZA,2015,0.25
Algeria,DZA,2016,0.092
Algeria,DZA,2017,0.339
Algeria,DZA,2018,0.865
Algeria,DZA,2019,0.825
Argentina,ARG,1965,2.699
Argentina,ARG,1966,2.154
Argentina,ARG,1967,2.353
Argentina,ARG,1968,2.21
Argentina,ARG,1969,2.558
Argentina,ARG,1970,3.48
Argentina,ARG,1971,2.872
Argentina,ARG,1972,2.375
Argentina,ARG,1973,2.499
Argentina,ARG,1974,2.982
Argentina,ARG,1975,2.978
Argentina,ARG,1976,2.856
Argentina,ARG,1977,2.585
Argentina,ARG,1978,3.089
Argentina,ARG,1979,2.713
Argentina,ARG,1980,2.421
Argentina,ARG,1981,2.38
Argentina,ARG,1982,2.347
Argentina,ARG,1983,2.039
Argentina,ARG,1984,1.516
Argentina,ARG,1985,2.292
Argentina,ARG,1986,2.372
Argentina,ARG,1987,2.519
Argentina,ARG,1988,2.547
Argentina,ARG,1989,2.874
Argentina,ARG,1990,2.39
Argentina,ARG,1991,2.079
Argentina,ARG,1992,2.179
Argentina,ARG,1993,1.4
Argentina,ARG,1994,1.204
Argentina,ARG,1995,1.214
Argentina,ARG,1996,1.187
Argentina,ARG,1997,0.942
Argentina,ARG,1998,1.221
Argentina,ARG,1999,1.499
Argentina,ARG,2000,1.095
Argentina,ARG,2001,0.907
Argentina,ARG,2002,0.71
Argentina,ARG,2003,0.807
Argentina,ARG,2004,1.304
Argentina,ARG,2005,1.408
Argentina,ARG,2006,1.213
Argentina,ARG,2007,1.681
Argentina,ARG,2008,2.016
Argentina,ARG,2009,1.129
Argentina,ARG,2010,1.503
Argentina,ARG,2011,1.6
Argentina,ARG,2012,1.455
Argentina,ARG,2013,1.526
Argentina,ARG,2014,1.631
Argentina,ARG,2015,1.588
Argentina,ARG,2016,1.227
Argentina,ARG,2017,1.264
Argentina,ARG,2018,1.394
Argentina,ARG,2019,0.66
Australia,AUS,1965,49.839
Australia,AUS,1966,47.089
Australia,AUS,1967,45.642
Australia,AUS,1968,44.325
Australia,AUS,1969,44.028
Australia,AUS,1970,40.779
Australia,AUS,1971,38.98
Australia,AUS,1972,38.937
Australia,AUS,1973,37.928
Australia,AUS,1974,37.233
Australia,AUS,1975,37.799
Australia,AUS,1976,37.756
Australia,AUS,1977,37.554
Australia,AUS,1978,37.601
Australia,AUS,1979,37.814
Australia,AUS,1980,38.658
Australia,AUS,1981,39.329
Australia,AUS,1982,39.771
Australia,AUS,1983,39.673
Australia,AUS,1984,40.198
Australia,AUS,1985,41.264
Australia,AUS,1986,40.927
Australia,AUS,1987,41.538
Australia,AUS,1988,41.751
Australia,AUS,1989,41.773
Australia,AUS,1990,42.032
Australia,AUS,1991,43.151
Australia,AUS,1992,42.972
Australia,AUS,1993,42.05
Australia,AUS,1994,41.263
Australia,AUS,1995,41.562
Australia,AUS,1996,42.196
Australia,AUS,1997,43.239
Australia,AUS,1998,44.139
Australia,AUS,1999,44.911
Australia,AUS,2000,45.039
Australia,AUS,2001,44.177
Australia,AUS,2002,44.511
Australia,AUS,2003,45.106
Australia,AUS,2004,45.491
Australia,AUS,2005,45.404
Australia,AUS,2006,43.976
Australia,AUS,2007,43.046
Australia,AUS,2008,44.14
Australia,AUS,2009,43.041
Australia,AUS,2010,39.77
Australia,AUS,2011,37.415
Australia,AUS,2012,35.471
Australia,AUS,2013,33.414
Australia,AUS,2014,32.667
Australia,AUS,2015,33.326
Australia,AUS,2016,33.045
Australia,AUS,2017,31.977
Australia,AUS,2018,30.764
Australia,AUS,2019,27.819
Austria,AUT,1965,31.677
Austria,AUT,1966,28.925
Austria,AUT,1967,27.106
Austria,AUT,1968,25.013
Austria,AUT,1969,23.723
Austria,AUT,1970,22.312
Austria,AUT,1971,20.488
Austria,AUT,1972,17.955
Austria,AUT,1973,16.604
Austria,AUT,1974,17.47
Austria,AUT,1975,15.296
Austria,AUT,1976,15.689
Austria,AUT,1977,13.165
Austria,AUT,1978,12.813
Austria,AUT,1979,13.143
Austria,AUT,1980,13.57
Austria,AUT,1981,14.33
Austria,AUT,1982,14.1
Austria,AUT,1983,15.137
Austria,AUT,1984,17.388
Austria,AUT,1985,16.537
Austria,AUT,1986,14.597
Austria,AUT,1987,13.73
Austria,AUT,1988,13.349
Austria,AUT,1989,13.333
Austria,AUT,1990,14.457
Austria,AUT,1991,14.446
Austria,AUT,1992,11.444
Austria,AUT,1993,10.117
Austria,AUT,1994,10.319
Austria,AUT,1995,11.199
Austria,AUT,1996,11.213
Austria,AUT,1997,11.656
Austria,AUT,1998,10.104
Austria,AUT,1999,9.822
Austria,AUT,2000,11.071
Austria,AUT,2001,11.026
Austria,AUT,2002,11.177
Austria,AUT,2003,11.768
Austria,AUT,2004,11.337
