Entity,Code,Year,(Percentage)
Africa,,1965,1.368
Africa,,1966,1.454
Africa,,1967,1.426
Africa,,1968,1.37
Africa,,1969,1.563
Africa,,1970,1.781
Africa,,1971,1.943
Africa,,1972,2.456
Africa,,1973,3.637
Africa,,1974,3.906
Africa,,1975,4.446
Africa,,1976,4.617
Africa,,1977,4.912
Africa,,1978,6.75
Africa,,1979,9.412
Africa,,1980,11.007
Africa,,1981,12.085
Africa,,1982,12.223
Africa,,1983,13.086
Africa,,1984,12.142
Africa,,1985,12.54
Africa,,1986,13.759
Africa,,1987,13.78
Africa,,1988,14.242
Africa,,1989,14.715
Africa,,1990,15.289
Africa,,1991,15.417
Africa,,1992,15.901
Africa,,1993,15.518
Africa,,1994,15.775
Africa,,1995,16.194
Africa,,1996,16.556
Africa,,1997,15.918
Africa,,1998,16.495
Africa,,1999,16.159
Africa,,2000,17.44
Africa,,2001,19.371
Africa,,2002,20.309
Africa,,2003,20.597
Africa,,2004,20.926
Africa,,2005,21.561
Africa,,2006,22.108
Africa,,2007,22.729
Africa,,2008,22.303
Africa,,2009,22.099
Africa,,2010,22.153
Africa,,2011,23.927
Africa,,2012,24.823
Africa,,2013,24.499
Africa,,2014,24.446
Africa,,2015,25.823
Africa,,2016,25.861
Africa,,2017,26.836
Africa,,2018,27.624
Africa,,2019,27.199
Algeria,DZA,1965,30.009
Algeria,DZA,1966,25.931
Algeria,DZA,1967,26.579
Algeria,DZA,1968,26.032
Algeria,DZA,1969,30.924
Algeria,DZA,1970,26.547
Algeria,DZA,1971,27.851
Algeria,DZA,1972,28.793
Algeria,DZA,1973,33.623
Algeria,DZA,1974,35.149
Algeria,DZA,1975,40.52
Algeria,DZA,1976,41.066
Algeria,DZA,1977,39.818
Algeria,DZA,1978,50.878
Algeria,DZA,1979,54.903
Algeria,DZA,1980,61.795
Algeria,DZA,1981,66.129
Algeria,DZA,1982,65.078
Algeria,DZA,1983,65.227
Algeria,DZA,1984,59.686
Algeria,DZA,1985,58.665
Algeria,DZA,1986,60.71
Algeria,DZA,1987,60.435
Algeria,DZA,1988,63.57
Algeria,DZA,1989,61.504
Algeria,DZA,1990,61.946
Algeria,DZA,1991,61.752
Algeria,DZA,1992,62.134
Algeria,DZA,1993,59.928
Algeria,DZA,1994,62.33
Algeria,DZA,1995,64.585
Algeria,DZA,1996,67.024
Algeria,DZA,1997,65.148
Algeria,DZA,1998,65.091
Algeria,DZA,1999,65.867
Algeria,DZA,2000,63.685
Algeria,DZA,2001,63.488
Algeria,DZA,2002,60.52
Algeria,DZA,2003,61.13
Algeria,DZA,2004,60.589
Algeria,DZA,2005,61.053
Algeria,DZA,2006,60.261
Algeria,DZA,2007,58.51
Algeria,DZA,2008,57.624
Algeria,DZA,2009,58.404
Algeria,DZA,2010,57.904
Algeria,DZA,2011,57.7
Algeria,DZA,2012,58.853
Algeria,DZA,2013,59.822
Algeria,DZA,2014,61.635
Algeria,DZA,2015,61.415
Algeria,DZA,2016,62.573
Algeria,DZA,2017,63.291
Algeria,DZA,2018,64.59
Algeria,DZA,2019,64.163
Argentina,ARG,1965,13.164
Argentina,ARG,1966,13.798
Argentina,ARG,1967,14.013
Argentina,ARG,1968,15.082
Argentina,ARG,1969,14.526
Argentina,ARG,1970,17.379
Argentina,ARG,1971,17.66
Argentina,ARG,1972,19.469
Argentina,ARG,1973,21.24
Argentina,ARG,1974,21.543
Argentina,ARG,1975,22.642
Argentina,ARG,1976,24.168
Argentina,ARG,1977,24.161
Argentina,ARG,1978,23.034
Argentina,ARG,1979,22.33
Argentina,ARG,1980,24.358
Argentina,ARG,1981,26.405
Argentina,ARG,1982,29.296
Argentina,ARG,1983,30.152
Argentina,ARG,1984,32.153
Argentina,ARG,1985,33.668
Argentina,ARG,1986,32.96
Argentina,ARG,1987,31.554
Argentina,ARG,1988,36.372
Argentina,ARG,1989,39.831
Argentina,ARG,1990,38.449
Argentina,ARG,1991,38.706
Argentina,ARG,1992,38.91
Argentina,ARG,1993,39.803
Argentina,ARG,1994,40.173
Argentina,ARG,1995,42.973
Argentina,ARG,1996,46.041
Argentina,ARG,1997,42.664
Argentina,ARG,1998,43.997
Argentina,ARG,1999,47.719
