Entity,Code,Year,Value
Africa,,1965,38.627
Africa,,1966,43.083
Africa,,1967,44.974
Africa,,1968,52.607
Africa,,1969,61.391
Africa,,1970,76.751
Africa,,1971,72.715
Africa,,1972,82.773
Africa,,1973,87.544
Africa,,1974,99.561
Africa,,1975,105.25
Africa,,1976,116.619
Africa,,1977,128.105
Africa,,1978,129.172
Africa,,1979,138.24
Africa,,1980,134.775
Africa,,1981,140.03
Africa,,1982,140.117
Africa,,1983,126.326
Africa,,1984,135.136
Africa,,1985,152.871
Africa,,1986,168.354
Africa,,1987,155.226
Africa,,1988,179.757
Africa,,1989,188.867
Africa,,1990,184.637
Africa,,1991,196.065
Africa,,1992,188.813
Africa,,1993,180.153
Africa,,1994,189.221
Africa,,1995,200.269
Africa,,1996,209.33
Africa,,1997,216.376
Africa,,1998,227.717
Africa,,1999,236.77
Africa,,2000,251.984
Africa,,2001,260.384
Africa,,2002,273.982
Africa,,2003,268.955
Africa,,2004,283.022
Africa,,2005,280.253
Africa,,2006,285.833
Africa,,2007,294.509
Africa,,2008,303.104
Africa,,2009,309.121
Africa,,2010,331.908
Africa,,2011,337.637
Africa,,2012,338.81
Africa,,2013,360.03
Africa,,2014,382.109
Africa,,2015,384.166
Africa,,2016,390.694
Africa,,2017,417.103
Africa,,2018,432.467
Africa,,2019,476.454
Algeria,DZA,1965,1.111
Algeria,DZA,1966,0.986
Algeria,DZA,1967,1.139
Algeria,DZA,1968,1.564
Algeria,DZA,1969,1.003
Algeria,DZA,1970,1.611
Algeria,DZA,1971,0.917
Algeria,DZA,1972,1.375
Algeria,DZA,1973,2.089
Algeria,DZA,1974,1.381
Algeria,DZA,1975,0.911
Algeria,DZA,1976,1.081
Algeria,DZA,1977,0.747
Algeria,DZA,1978,0.694
Algeria,DZA,1979,0.808
Algeria,DZA,1980,0.714
Algeria,DZA,1981,1.017
Algeria,DZA,1982,1.331
Algeria,DZA,1983,0.653
Algeria,DZA,1984,1.256
Algeria,DZA,1985,1.794
Algeria,DZA,1986,0.694
Algeria,DZA,1987,1.386
Algeria,DZA,1988,0.508
Algeria,DZA,1989,0.628
Algeria,DZA,1990,0.375
Algeria,DZA,1991,0.814
Algeria,DZA,1992,0.553
Algeria,DZA,1993,0.981
Algeria,DZA,1994,0.461
Algeria,DZA,1995,0.536
Algeria,DZA,1996,0.375
Algeria,DZA,1997,0.208
Algeria,DZA,1998,0.597
Algeria,DZA,1999,0.564
Algeria,DZA,2000,0.15
Algeria,DZA,2001,0.19
Algeria,DZA,2002,0.156
Algeria,DZA,2003,0.722
Algeria,DZA,2004,0.679
Algeria,DZA,2005,1.494
Algeria,DZA,2006,0.582
Algeria,DZA,2007,0.6
Algeria,DZA,2008,0.747
Algeria,DZA,2009,0.897
Algeria,DZA,2010,0.475
Algeria,DZA,2011,1.027
Algeria,DZA,2012,1.071
Algeria,DZA,2013,0.327
Algeria,DZA,2014,0.646
Algeria,DZA,2015,0.562
Algeria,DZA,2016,0.845
Algeria,DZA,2017,1.448
Algeria,DZA,2018,1.814
Algeria,DZA,2019,1.923
Argentina,ARG,1965,3.403
Argentina,ARG,1966,3.447
Argentina,ARG,1967,3.531
Argentina,ARG,1968,4.161
Argentina,ARG,1969,3.733
Argentina,ARG,1970,4.452
Argentina,ARG,1971,4.427
Argentina,ARG,1972,4.357
Argentina,ARG,1973,8.453
Argentina,ARG,1974,16.984
Argentina,ARG,1975,21.591
Argentina,ARG,1976,21.209
Argentina,ARG,1977,20.714
Argentina,ARG,1978,29.728
Argentina,ARG,1979,37.323
Argentina,ARG,1980,48.806
Argentina,ARG,1981,48.821
Argentina,ARG,1982,54.33
Argentina,ARG,1983,61.004
Argentina,ARG,1984,68.384
Argentina,ARG,1985,73.654
Argentina,ARG,1986,74.52
Argentina,ARG,1987,78.928
Argentina,ARG,1988,58.2
Argentina,ARG,1989,50.343
Argentina,ARG,1990,70.177
Argentina,ARG,1991,66.879
Argentina,ARG,1992,74.894
Argentina,ARG,1993,87.258
Argentina,ARG,1994,100.909
Argentina,ARG,1995,98.999
Argentina,ARG,1996,93.792
Argentina,ARG,1997,115.142
Argentina,ARG,1998,112.142
Argentina,ARG,1999,95.337
Argentina,ARG,2000,113.669
Argentina,ARG,2001,136.941
Argentina,ARG,2002,132.194
Argentina,ARG,2003,130.056
Argentina,ARG,2004,119.771
Argentina,ARG,2005,127.417
Argentina,ARG,2006,141.619
Argentina,ARG,2007,123.867
Argentina,ARG,2008,122.296
Argentina,ARG,2009,133.092
Argentina,ARG,2010,135.787
Argentina,ARG,2011,133.863
Argentina,ARG,2012,129.645
Argentina,ARG,2013,139.644
