Entity,Code,Year,Low-carbon energy (% sub energy)
Africa,,1965,5.537
Africa,,1966,5.873
Africa,,1967,6.08
Africa,,1968,6.743
Africa,,1969,7.683
Africa,,1970,8.807
Africa,,1971,7.677
Africa,,1972,8.241
Africa,,1973,8.05
Africa,,1974,8.735
Africa,,1975,8.724
Africa,,1976,8.829
Africa,,1977,9.222
Africa,,1978,8.955
Africa,,1979,8.741
Africa,,1980,7.937
Africa,,1981,7.406
Africa,,1982,6.941
Africa,,1983,6.094
Africa,,1984,6.313
Africa,,1985,6.875
Africa,,1986,7.394
Africa,,1987,6.614
Africa,,1988,7.142
Africa,,1989,7.481
Africa,,1990,7.081
Africa,,1991,7.526
Africa,,1992,7.127
Africa,,1993,6.775
Africa,,1994,6.912
Africa,,1995,7.031
Africa,,1996,7.158
Africa,,1997,7.259
Africa,,1998,7.522
Africa,,1999,7.591
Africa,,2000,7.892
Africa,,2001,7.849
Africa,,2002,8.168
Africa,,2003,7.655
Africa,,2004,7.517
Africa,,2005,7.393
Africa,,2006,7.408
Africa,,2007,7.372
Africa,,2008,7.133
Africa,,2009,7.148
Africa,,2010,7.433
Africa,,2011,7.536
Africa,,2012,7.307
Africa,,2013,7.563
Africa,,2014,7.791
Africa,,2015,7.723
Africa,,2016,7.653
Africa,,2017,7.99
Africa,,2018,8.028
Africa,,2019,8.632
Algeria,DZA,1965,4.487
Algeria,DZA,1966,3.313
Algeria,DZA,1967,4.042
Algeria,DZA,1968,5.171
Algeria,DZA,1969,2.996
Algeria,DZA,1970,4.395
Algeria,DZA,1971,2.311
Algeria,DZA,1972,3.086
Algeria,DZA,1973,3.933
Algeria,DZA,1974,2.347
Algeria,DZA,1975,1.296
Algeria,DZA,1976,1.317
Algeria,DZA,1977,0.829
Algeria,DZA,1978,0.613
Algeria,DZA,1979,0.544
Algeria,DZA,1980,0.403
Algeria,DZA,1981,0.473
Algeria,DZA,1982,0.536
Algeria,DZA,1983,0.241
Algeria,DZA,1984,0.483
Algeria,DZA,1985,0.684
Algeria,DZA,1986,0.25
Algeria,DZA,1987,0.486
Algeria,DZA,1988,0.166
Algeria,DZA,1989,0.211
Algeria,DZA,1990,0.119
Algeria,DZA,1991,0.261
Algeria,DZA,1992,0.173
Algeria,DZA,1993,0.329
Algeria,DZA,1994,0.153
Algeria,DZA,1995,0.171
Algeria,DZA,1996,0.121
Algeria,DZA,1997,0.07
Algeria,DZA,1998,0.194
Algeria,DZA,1999,0.181
Algeria,DZA,2000,0.05
Algeria,DZA,2001,0.061
Algeria,DZA,2002,0.049
Algeria,DZA,2003,0.214
Algeria,DZA,2004,0.194
Algeria,DZA,2005,0.408
Algeria,DZA,2006,0.153
Algeria,DZA,2007,0.15
Algeria,DZA,2008,0.176
Algeria,DZA,2009,0.2
Algeria,DZA,2010,0.109
Algeria,DZA,2011,0.221
Algeria,DZA,2012,0.211
Algeria,DZA,2013,0.061
Algeria,DZA,2014,0.11
Algeria,DZA,2015,0.091
Algeria,DZA,2016,0.137
Algeria,DZA,2017,0.232
Algeria,DZA,2018,0.27
Algeria,DZA,2019,0.273
Argentina,ARG,1965,1.086
Argentina,ARG,1966,1.065
Argentina,ARG,1967,1.059
Argentina,ARG,1968,1.207
Argentina,ARG,1969,1.047
Argentina,ARG,1970,1.321
Argentina,ARG,1971,1.237
Argentina,ARG,1972,1.196
Argentina,ARG,1973,2.225
Argentina,ARG,1974,4.283
Argentina,ARG,1975,5.585
Argentina,ARG,1976,5.203
Argentina,ARG,1977,4.864
Argentina,ARG,1978,6.843
Argentina,ARG,1979,8.1
Argentina,ARG,1980,10.602
Argentina,ARG,1981,11.001
Argentina,ARG,1982,11.955
Argentina,ARG,1983,12.849
Argentina,ARG,1984,14.429
Argentina,ARG,1985,15.927
Argentina,ARG,1986,14.599
Argentina,ARG,1987,14.795
Argentina,ARG,1988,10.765
Argentina,ARG,1989,9.708
Argentina,ARG,1990,13.674
Argentina,ARG,1991,12.884
Argentina,ARG,1992,13.413
Argentina,ARG,1993,15.139
Argentina,ARG,1994,17.189
Argentina,ARG,1995,16.208
Argentina,ARG,1996,14.338
Argentina,ARG,1997,17.699
Argentina,ARG,1998,16.629
Argentina,ARG,1999,14.456
Argentina,ARG,2000,16.567
Argentina,ARG,2001,20.181
Argentina,ARG,2002,20.462
Argentina,ARG,2003,18.765
Argentina,ARG,2004,16.406
