Entity,Code,Year,Percentage
Africa,,1965,46.72
Africa,,1966,48.626
Africa,,1967,47.838
Africa,,1968,47.859
Africa,,1969,47.373
Africa,,1970,48.014
Africa,,1971,49.942
Africa,,1972,51.049
Africa,,1973,50.71
Africa,,1974,50.013
Africa,,1975,49.439
Africa,,1976,50.134
Africa,,1977,50.47
Africa,,1978,51.171
Africa,,1979,49.772
Africa,,1980,49.047
Africa,,1981,46.881
Africa,,1982,46.099
Africa,,1983,46.413
Africa,,1984,45.905
Africa,,1985,45.185
Africa,,1986,43.475
Africa,,1987,44.311
Africa,,1988,43.246
Africa,,1989,44.704
Africa,,1990,43.965
Africa,,1991,44.308
Africa,,1992,44.575
Africa,,1993,44.928
Africa,,1994,44.649
Africa,,1995,44.412
Africa,,1996,44.331
Africa,,1997,44.673
Africa,,1998,45.052
Africa,,1999,45.295
Africa,,2000,44.496
Africa,,2001,43.374
Africa,,2002,43.676
Africa,,2003,42.812
Africa,,2004,41.855
Africa,,2005,43.665
Africa,,2006,43.198
Africa,,2007,43.113
Africa,,2008,42.809
Africa,,2009,43.598
Africa,,2010,44.342
Africa,,2011,42.991
Africa,,2012,43.801
Africa,,2013,44.188
Africa,,2014,43.612
Africa,,2015,43.97
Africa,,2016,43.231
Africa,,2017,42.521
Africa,,2018,41.633
Africa,,2019,41.662
Algeria,DZA,1965,62.216
Algeria,DZA,1966,68.1
Algeria,DZA,1967,67.232
Algeria,DZA,1968,66.682
Algeria,DZA,1969,63.648
Algeria,DZA,1970,66.424
Algeria,DZA,1971,69.164
Algeria,DZA,1972,67.599
Algeria,DZA,1973,61.941
Algeria,DZA,1974,62.128
Algeria,DZA,1975,57.787
Algeria,DZA,1976,56.95
Algeria,DZA,1977,58.567
Algeria,DZA,1978,48.191
Algeria,DZA,1979,43.989
Algeria,DZA,1980,37.382
Algeria,DZA,1981,33.155
Algeria,DZA,1982,30.47
Algeria,DZA,1983,31.334
Algeria,DZA,1984,36.139
Algeria,DZA,1985,36.827
Algeria,DZA,1986,35.33
Algeria,DZA,1987,34.763
Algeria,DZA,1988,32.474
Algeria,DZA,1989,34.992
Algeria,DZA,1990,35.501
Algeria,DZA,1991,35.453
Algeria,DZA,1992,34.758
Algeria,DZA,1993,37.175
Algeria,DZA,1994,35.129
Algeria,DZA,1995,32.941
Algeria,DZA,1996,31.759
Algeria,DZA,1997,32.783
Algeria,DZA,1998,32.649
Algeria,DZA,1999,31.759
Algeria,DZA,2000,34.385
Algeria,DZA,2001,34.355
Algeria,DZA,2002,36.776
Algeria,DZA,2003,36.564
Algeria,DZA,2004,36.813
Algeria,DZA,2005,36.653
Algeria,DZA,2006,36.881
Algeria,DZA,2007,39.137
Algeria,DZA,2008,40.121
Algeria,DZA,2009,40.137
Algeria,DZA,2010,41.163
Algeria,DZA,2011,41.391
Algeria,DZA,2012,40.267
Algeria,DZA,2013,39.775
Algeria,DZA,2014,37.899
Algeria,DZA,2015,38.244
Algeria,DZA,2016,37.197
Algeria,DZA,2017,36.138
Algeria,DZA,2018,34.275
Algeria,DZA,2019,34.739
Argentina,ARG,1965,83.05
Argentina,ARG,1966,82.982
Argentina,ARG,1967,82.575
Argentina,ARG,1968,81.502
Argentina,ARG,1969,81.87
Argentina,ARG,1970,77.82
Argentina,ARG,1971,78.231
Argentina,ARG,1972,76.96
Argentina,ARG,1973,74.036
Argentina,ARG,1974,71.192
Argentina,ARG,1975,68.795
Argentina,ARG,1976,67.773
Argentina,ARG,1977,68.39
Argentina,ARG,1978,67.034
Argentina,ARG,1979,66.856
Argentina,ARG,1980,62.619
Argentina,ARG,1981,60.215
Argentina,ARG,1982,56.402
Argentina,ARG,1983,54.961
Argentina,ARG,1984,51.902
Argentina,ARG,1985,48.114
Argentina,ARG,1986,50.069
Argentina,ARG,1987,51.132
Argentina,ARG,1988,50.316
Argentina,ARG,1989,47.588
Argentina,ARG,1990,45.487
Argentina,ARG,1991,46.331
Argentina,ARG,1992,45.498
Argentina,ARG,1993,43.657
Argentina,ARG,1994,41.435
Argentina,ARG,1995,39.604
Argentina,ARG,1996,38.434
Argentina,ARG,1997,38.695
Argentina,ARG,1998,38.152
Argentina,ARG,1999,36.326
Argentina,ARG,2000,35.267
Argentina,ARG,2001,34.354
Argentina,ARG,2002,33.261
Argentina,ARG,2003,31.907
Argentina,ARG,2004,31.868
Argentina,ARG,2005,31.762
Argentina,ARG,2006,31.78
Argentina,ARG,2007,33.808
Argentina,ARG,2008,34.186
Argentina,ARG,2009,34.138
Argentina,ARG,2010,36.399
Argentina,ARG,2011,35.764
Argentina,ARG,2012,36.154
Argentina,ARG,2013,37.198
Argentina,ARG,2014,36.656
Argentina,ARG,2015,36.874
Argentina,ARG,2016,36.177
Argentina,ARG,2017,35.314
Argentina,ARG,2018,33.989
Argentina,ARG,2019,34.238
Australia,AUS,1965,44.681
Australia,AUS,1966,48.137
Australia,AUS,1967,49.7
Australia,AUS,1968,51.041
Australia,AUS,1969,50.398
Australia,AUS,1970,51.075
Australia,AUS,1971,51.211
Australia,AUS,1972,49.852
Australia,AUS,1973,49.758
Australia,AUS,1974,49.593
Australia,AUS,1975,48.279
Australia,AUS,1976,47.675
Australia,AUS,1977,47.564
Australia,AUS,1978,46.751
Australia,AUS,1979,45.755
Australia,AUS,1980,43.589
Australia,AUS,1981,41.832
Australia,AUS,1982,42.051
Australia,AUS,1983,41.237
Australia,AUS,1984,41.391
Australia,AUS,1985,39.239
Australia,AUS,1986,38.845
Australia,AUS,1987,38.555
Australia,AUS,1988,38.589
Australia,AUS,1989,38.136
Australia,AUS,1990,38.021
Australia,AUS,1991,37.207
Australia,AUS,1992,36.996
Australia,AUS,1993,37.798
Australia,AUS,1994,37.727
Australia,AUS,1995,37.904
Australia,AUS,1996,37.549
Australia,AUS,1997,37.284
Australia,AUS,1998,36.389
Australia,AUS,1999,35.948
Australia,AUS,2000,35.604
Australia,AUS,2001,35.505
Australia,AUS,2002,34.87
Australia,AUS,2003,34.33
Australia,AUS,2004,34.169
Australia,AUS,2005,34.076
Australia,AUS,2006,34.763
Australia,AUS,2007,33.918
Australia,AUS,2008,33.41
Australia,AUS,2009,33.496
Australia,AUS,2010,33.071
Australia,AUS,2011,33.992
Australia,AUS,2012,35.745
Australia,AUS,2013,36.119
Australia,AUS,2014,35.986
Australia,AUS,2015,34.2
Australia,AUS,2016,34.213
Australia,AUS,2017,35.849
Australia,AUS,2018,36.01
Australia,AUS,2019,33.43
Austria,AUT,1965,34.99
Austria,AUT,1966,36.773
Austria,AUT,1967,38.819
Austria,AUT,1968,41.931
